uid,name,vendor_name,address,latitude,longitude,city,country,open,close,cost_per_unit,power_type,total,type,vehicle_type
STATIC12,GensolCharge Pvt. Ltd.,GensolCharge Pvt. Ltd.,"NDSE Grid, BRPL South Extension",28.568238,77.219666,Delhi,India,00:00:00,23:59:59,₹0 per unit,DC,2.0,BEVC DC 001,4W
STATIC14,REIL,REIL,Scada office kalka ji,28.541995,77.260583,Delhi,India,00:00:00,23:59:59,₹0 per unit,AC,3.0,BEVC AC 001,2W
STATIC14,REIL,REIL,Scada office kalka ji,28.541995,77.260583,Delhi,India,00:00:00,23:59:59,₹0 per unit,AC,3.0,BEVC AC 001,3W
STATIC14,REIL,REIL,Scada office kalka ji,28.541995,77.260583,Delhi,India,00:00:00,23:59:59,₹0 per unit,AC,3.0,BEVC AC 001,4W
STATIC15,REIL,REIL,Ashram Chowk Mathura Road,28.571189,77.259806,Delhi,India,00:00:00,23:59:59,₹0 per unit,DC,2.0,BEVC DC 001,4W
STATIC16,REIL,REIL,Nizamuddin Railway station,28.588991,77.25324,Delhi,India,00:00:00,23:59:59,₹0 per unit,DC,4.0,BEVC DC 001,4W
STATIC17,BluSmart,BluSmart,"BSES Bhawan, Nehru Place, New Delhi 110048",28.549427,77.254636,Delhi,India,00:00:00,23:59:59,₹0 per unit,DC,1.0,BEVC DC 001,4W
STATIC18,Smart E,Smart E,Uttam Nagar East metro station,28.626722,77.065972,Delhi,India,00:00:00,23:59:59,₹0 per unit,AC,20.0,BEVC AC 001,2W
STATIC18,Smart E,Smart E,Uttam Nagar East metro station,28.626722,77.065972,Delhi,India,00:00:00,23:59:59,₹0 per unit,AC,20.0,BEVC AC 001,3W
STATIC18,Smart E,Smart E,Uttam Nagar East metro station,28.626722,77.065972,Delhi,India,00:00:00,23:59:59,₹0 per unit,AC,20.0,BEVC AC 001,4W
STATIC19,EEE,EEE,"Mukteshwar dham Andheriya bagh,mehrauli",28.510291,77.171653,Delhi,India,00:00:00,23:59:59,₹0 per unit,DC,7.0,BEVC DC 001,4W
